hour,avg_steps
0,42.188436830835116
1,23.10289389067524
2,17.110396570203644
3,6.426580921757771
4,12.699570815450643
5,43.86909871244635
6,178.50805585392052
7,306.04940923737917
8,427.54457572502685
9,433.3018259935553
10,481.66523143164693
11,456.8867313915858
12,548.6420824295011
13,537.6981541802388
14,540.5135722041259
15,406.3191256830601
16,496.84564498346197
17,550.2328918322296
18,599.1699779249448
19,583.3907284768212
20,353.90507726269317
21,308.1381215469613
22,237.98783185840708
23,122.1328903654485
